,longitude,latitude,LCOH,Wind turbines,Solar platforms,Electrolyzers,Desalination equipment,Storage volume,Conversion devices,Reconversion devices,Transport medium,FPSO volume,Distance sea
0,6.08,54.550000000000004,2.8599504337778523,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6784.528239512212
1,6.28,54.550000000000004,2.8584891987770855,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6765.448882388002
2,6.48,54.550000000000004,2.8574414935088313,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6746.380336823886
3,6.680000000000001,54.550000000000004,2.8568378954087352,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6727.322713082764
4,6.880000000000001,54.550000000000004,2.8566973828266846,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6708.276122554637
5,7.08,54.550000000000004,2.8570245264476086,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6689.240677771988
6,7.28,54.550000000000004,2.859089338211721,44.0,2.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6670.216492425294
7,7.48,54.550000000000004,2.8724719935258864,44.0,21.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6651.203681378791
8,7.680000000000001,54.550000000000004,2.8740882342918774,44.0,21.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6632.202360686423
9,7.880000000000001,54.550000000000004,2.8760633766929997,44.0,21.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6613.212647608014
10,8.08,54.550000000000004,2.879488242037044,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6594.2346606256315
11,8.280000000000001,54.550000000000004,2.911213674112776,47.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6575.2685194602
12,8.48,54.550000000000004,2.9723345398953342,51.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6556.314345088303
13,8.68,54.550000000000004,3.1375358039881176,59.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6537.372259759216
14,8.88,54.550000000000004,3.1407199550614764,59.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6518.44238701219
15,9.08,54.550000000000004,3.3206379807558295,68.0,-0.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6499.524851693915
16,9.280000000000001,54.550000000000004,3.445659214503171,70.0,2.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6480.61977997626
17,9.48,54.550000000000004,3.5044378641658622,77.0,-0.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6461.727299374223
18,9.68,54.550000000000004,3.4693912374274087,71.0,5.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6442.847538764135
19,9.88,54.550000000000004,3.473135086812292,71.0,5.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6423.980628402086
20,6.08,54.35,2.8543228153133797,44.0,2.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6773.351264665047
21,6.28,54.35,2.853221451977042,44.0,3.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6754.257477689186
22,6.48,54.35,2.85451853000915,44.0,7.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6735.174499229721
23,6.680000000000001,54.35,2.853783875920095,44.0,7.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6716.1024395863315
24,6.880000000000001,54.35,2.8536121393000125,44.0,7.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6697.041410190426
25,7.08,54.35,2.8495295852486433,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6677.991523620587
26,7.28,54.35,2.8588048981265723,44.0,13.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6658.952893618197
27,7.48,54.35,2.8665220127058793,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6639.925635103302
28,7.680000000000001,54.35,2.8709989655094166,45.0,4.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6620.90986419065
29,7.880000000000001,54.35,2.873306326946866,45.0,4.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6601.905698205976
30,8.08,54.35,2.8842680044448965,44.99999999999999,17.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6582.913255702464
31,8.280000000000001,54.35,2.914418163511992,47.0,14.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6563.932656477468
32,8.48,54.35,2.9669105860423968,51.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6544.964021589431
33,8.68,54.35,3.1271759562178807,55.0,12.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6526.0074733750225
34,8.88,54.35,3.130660557691232,55.0,12.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6507.0631354665375
35,9.08,54.35,3.323061600286879,65.0,8.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6488.131132809474
36,9.280000000000001,54.35,3.473754278628998,72.0,7.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6469.211591680404
37,9.48,54.35,3.574000590923122,78.0,21.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6450.30463970504
38,9.68,54.35,3.5734038933220726,78.0,14.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6431.410405876548
39,9.88,54.35,3.5773530413085624,78.0,14.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6412.529020574139
40,6.08,54.15,2.8648539784534552,45.0,6.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6762.199072208202
41,6.28,54.15,2.8588788712768536,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6743.090796234639
42,6.48,54.15,2.8585779286953867,45.0,2.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6723.993325086492
43,6.680000000000001,54.15,2.856363237235281,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6704.906769095747
44,6.880000000000001,54.15,2.8561431234141725,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6685.831239730702
45,7.08,54.15,2.856654008437677,45.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6666.766849611495
46,7.28,54.15,2.8687420328615607,45.0,17.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6647.713712525836
47,7.48,54.15,2.883854744869542,46.0,15.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6628.671943444957
48,7.680000000000001,54.15,2.891154735781893,47.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6609.641658539756
49,7.880000000000001,54.15,2.8938918337276935,47.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6590.622975197191
50,8.08,54.15,2.9020760392968583,47.0,8.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6571.616012036838
51,8.280000000000001,54.15,2.9403122634342016,49.0,17.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6552.620888927734
52,8.48,54.15,2.9943633540461465,50.0,2.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6533.637727005376
53,8.68,54.15,3.1683648746208575,58.0,15.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6514.666648689013
54,8.88,54.15,3.1721605854064694,58.0,15.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6495.707777699108
55,9.08,54.15,3.3913441351334788,67.0,4.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6476.761239075094
56,9.280000000000001,54.15,3.5494306439570686,77.0,17.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6457.827159193312
57,9.48,54.15,3.675620683038063,83.0,0.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6438.905665785224
58,9.68,54.15,3.6702591214998903,82.0,8.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6419.99688795586
59,9.88,54.15,3.6743990325780422,82.0,8.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6401.1009562025065
60,6.08,53.95,2.8840892489367653,47.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6751.071837030415
61,6.28,53.95,2.878980108495656,46.0,19.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6731.949013392396
62,6.48,53.95,2.8793135977218527,47.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6712.836990239163
63,6.680000000000001,53.95,2.8780425497725153,47.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6693.7358779304695
64,6.880000000000001,53.95,2.8777375865994537,47.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6674.645787966927
65,7.08,53.95,2.893020830071317,48.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6655.566833005614
66,7.28,53.95,2.9194613508869307,49.0,16.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6636.499126875916
67,7.48,53.95,2.9407233218600726,51.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6617.442784595566
68,7.680000000000001,53.95,2.9588345221144774,52.0,1.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6598.397922386896
69,7.880000000000001,53.95,2.962115942819727,52.0,1.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6579.364657693315
70,8.08,53.95,2.9713412631057143,49.0,7.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6560.343109196008
71,8.280000000000001,53.95,3.0239572219492126,52.0,15.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6541.333396830844
72,8.48,53.95,3.109289043136004,55.0,3.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6522.33564180553
73,8.68,53.95,3.258991724936874,62.0,-0.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6503.34996661697
74,8.88,53.95,3.2630845605957117,62.0,-0.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6484.376495068886
75,9.08,53.95,3.5188255350307363,76.0,3.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6465.4153522896495
76,9.280000000000001,53.95,3.673205268311939,83.0,7.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6446.466664750374
77,9.48,53.95,3.7713261857035207,89.0,17.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6427.530560283235
78,9.68,53.95,3.7635862159337177,88.0,21.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6408.607168100047
79,9.88,53.95,3.767890120294544,88.0,21.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6389.696618811072
80,6.08,53.75,2.8790013710741307,47.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6739.969734594186
81,6.28,53.75,2.873107098849688,46.0,19.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6720.832305111451
82,6.48,53.75,2.872610712203468,47.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6701.7056711209025
83,6.680000000000001,53.75,2.870672983007578,47.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6682.589943005471
84,6.880000000000001,53.75,2.8701819791780987,47.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6663.485232293434
85,7.08,53.75,2.8858781548712256,48.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6644.391651674125
86,7.28,53.75,2.913086327859556,49.0,16.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6625.309315013894
87,7.48,53.75,2.93517591967534,51.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6606.238337372208
88,7.680000000000001,53.75,2.9540297118387904,52.0,1.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6587.178835018038
89,7.880000000000001,53.75,2.957933765346167,52.0,1.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6568.130925446432
90,8.08,53.75,2.9676704698056637,49.0,7.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6549.094727395299
91,8.280000000000001,53.75,3.020706159059388,52.0,15.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6530.070360862445
92,8.48,53.75,3.106385132347378,55.0,3.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6511.057947122833
93,8.68,53.75,3.2563780609950395,62.0,-0.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6492.057608746055
94,8.88,53.75,3.2607164087101945,62.0,-0.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6473.06946961407
95,9.08,53.75,3.5166674429478,76.0,3.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6454.093654939143
96,9.280000000000001,53.75,3.6712288509172653,83.0,7.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6435.130291282073
97,9.48,53.75,3.7695084680785342,89.0,17.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6416.179506570626
98,9.68,53.75,3.7619084015866884,88.0,21.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6397.241430118238
99,9.88,53.75,3.7663366728505863,88.0,21.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6378.316192642971
100,6.08,53.550000000000004,2.921342849232617,47.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6728.892940935161
