,longitude,latitude,LCOH,Wind turbines,Solar platforms,Electrolyzers,Desalination equipment,Storage volume,Conversion devices,Reconversion devices,Transport medium,FPSO volume,Distance sea
0,6.08,54.550000000000004,4.2464285609776695,43.0,32.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6784.528239512212
1,6.28,54.550000000000004,4.244967325976903,43.0,32.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6765.448882388002
2,6.48,54.550000000000004,4.246509950572436,43.0,35.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6746.380336823886
3,6.680000000000001,54.550000000000004,4.246769795760271,43.0,36.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6727.322713082764
4,6.880000000000001,54.550000000000004,4.24662928317822,43.0,36.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6708.276122554637
5,7.08,54.550000000000004,4.240048880495708,43.0,28.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6689.240677771988
6,7.28,54.550000000000004,9.13551084106848,0.0,3517.0,82.0,79.0,145528.71759997838,9,5.0,Ammonia,1477306.8618879856,6670.216492425294
7,7.48,54.550000000000004,4.27473114547729,44.0,21.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6651.203681378791
8,7.680000000000001,54.550000000000004,4.276347386243281,44.0,21.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6632.202360686423
9,7.880000000000001,54.550000000000004,4.278322528644403,44.0,21.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6613.212647608014
10,8.08,54.550000000000004,4.291839314855256,44.0,34.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6594.2346606256315
11,8.280000000000001,54.550000000000004,4.328636936466054,44.0,4.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6575.2685194602
12,8.48,54.550000000000004,4.464022649217424,47.0,23.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6556.314345088303
13,8.68,54.550000000000004,4.79351105479361,51.0,13.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6537.372259759216
14,8.88,54.550000000000004,4.796695205866969,51.0,13.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6518.44238701219
15,9.08,54.550000000000004,5.183596925575434,58.0,4.0,29.0,28.0,51467.47329755333,9,5.0,Ammonia,522462.1828628242,6499.524851693915
16,9.280000000000001,54.550000000000004,5.455032704234019,58.0,384.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6480.61977997626
17,9.48,54.550000000000004,5.5665324808517145,58.0,509.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6461.727299374223
18,9.68,54.550000000000004,5.498529748228525,58.0,426.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6442.847538764135
19,9.88,54.550000000000004,5.502273597613408,58.0,426.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6423.980628402086
20,6.08,54.35,4.252341892618432,44.0,2.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6773.351264665047
21,6.28,54.35,9.014780789521154,0.0,3524.0,80.0,77.0,141979.23668290573,9,5.0,Ammonia,1441274.9872077908,6754.257477689186
22,6.48,54.35,4.253653416431662,44.0,7.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6735.174499229721
23,6.680000000000001,54.35,4.252918762342608,44.0,7.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6716.1024395863315
24,6.880000000000001,54.35,4.252747025722525,44.0,7.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6697.041410190426
25,7.08,54.35,4.247102338906711,44.0,0.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6677.991523620587
26,7.28,54.35,4.259278755490037,44.0,13.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6658.952893618197
27,7.48,54.35,4.281463415387878,44.0,37.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6639.925635103302
28,7.680000000000001,54.35,4.292877118500891,44.0,48.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6620.90986419065
29,7.880000000000001,54.35,4.29518447993834,44.0,48.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6601.905698205976
30,8.08,54.35,4.309047261141769,44.0,61.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6582.913255702464
31,8.280000000000001,54.35,4.348780784001031,44.0,34.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6563.932656477468
32,8.48,54.35,4.459962471357918,46.0,-0.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6544.964021589431
33,8.68,54.35,4.778908752503641,51.0,2.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6526.0074733750225
34,8.88,54.35,4.7823933539769925,51.0,2.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6507.0631354665375
35,9.08,54.35,5.197205438884725,58.0,25.0,29.0,28.0,51467.47329755333,9,5.0,Ammonia,522462.1828628242,6488.131132809474
36,9.280000000000001,54.35,5.512936772509667,58.0,456.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6469.211591680404
37,9.48,54.35,5.702386935429759,58.0,671.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6450.30463970504
38,9.68,54.35,5.701954991640124,58.0,666.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6431.410405876548
39,9.88,54.35,5.705609005631547,56.0,825.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6412.529020574139
40,6.08,54.15,4.287178455091913,44.0,50.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6762.199072208202
41,6.28,54.15,4.276410603822642,44.0,40.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6743.090796234639
42,6.48,54.15,4.280009758039876,44.0,46.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6723.993325086492
43,6.680000000000001,54.15,4.272168083205211,44.0,38.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6704.906769095747
44,6.880000000000001,54.15,4.271947969384102,44.0,38.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6685.831239730702
45,7.08,54.15,4.269005081255889,44.0,34.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6666.766849611495
46,7.28,54.15,4.294254596561531,45.0,17.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6647.713712525836
47,7.48,54.15,4.302798764734,44.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6628.671943444957
48,7.680000000000001,54.15,4.320666204166183,44.0,18.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6609.641658539756
49,7.880000000000001,54.15,4.323403302111983,44.0,18.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6590.622975197191
50,8.08,54.15,4.336826575420803,44.0,30.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6571.616012036838
51,8.280000000000001,54.15,9.510636387832676,0.0,3744.0,85.0,82.0,150852.93897558737,9,5.0,Ammonia,1531354.6739082779,6552.620888927734
52,8.48,54.15,4.52064356121891,47.0,31.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6533.637727005376
53,8.68,54.15,4.87088594430337,53.0,24.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6514.666648689013
54,8.88,54.15,4.874681655088981,53.0,24.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6495.707777699108
55,9.08,54.15,5.3456042282877965,58.0,271.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6476.761239075094
56,9.280000000000001,54.15,5.652778282127201,57.0,667.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6457.827159193312
57,9.48,54.15,5.882616040043361,56.0,1043.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6438.905665785224
58,9.68,54.15,5.872032443524345,56.0,1026.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6419.99688795586
59,9.88,54.15,5.875308911314567,56.0,1025.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6401.1009562025065
60,6.08,53.95,4.303239397865902,44.0,6.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6751.071837030415
61,6.28,53.95,4.295363002502364,44.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6731.949013392396
62,6.48,53.95,4.295009973499273,44.0,2.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6712.836990239163
63,6.680000000000001,53.95,4.298919585277511,44.0,8.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6693.7358779304695
64,6.880000000000001,53.95,4.29861462210445,44.0,8.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6674.645787966927
65,7.08,53.95,4.334590151467132,45.0,4.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6655.566833005614
66,7.28,53.95,4.3896107637890855,46.0,21.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6636.499126875916
67,7.48,53.95,4.433775207175595,46.0,-0.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6617.442784595566
68,7.680000000000001,53.95,4.471205104853283,46.0,40.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6598.397922386896
69,7.880000000000001,53.95,4.474486525558532,46.0,40.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6579.364657693315
70,8.08,53.95,4.483095516947864,47.0,1.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6560.343109196008
71,8.280000000000001,53.95,4.587437657867208,48.0,3.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6541.333396830844
72,8.48,53.95,4.7650574860258414,51.0,0.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6522.33564180553
73,8.68,53.95,5.082272824746805,57.0,24.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6503.34996661697
74,8.88,53.95,5.086365660405641,57.0,24.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6484.376495068886
75,9.08,53.95,5.592880828058518,54.0,810.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6465.4153522896495
76,9.280000000000001,53.95,5.862033698744138,55.0,1072.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6446.466664750374
77,9.48,53.95,6.026749600984654,56.0,1213.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6427.530560283235
78,9.68,53.95,6.012031505652109,56.0,1191.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6408.607168100047
79,9.88,53.95,6.016335410012935,56.0,1191.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6389.696618811072
80,6.08,53.75,4.298151520003267,44.0,6.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6739.969734594186
81,6.28,53.75,4.289489992856397,44.0,0.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6720.832305111451
82,6.48,53.75,4.288307087980887,44.0,2.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6701.7056711209025
83,6.680000000000001,53.75,4.291550018512574,44.0,8.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6682.589943005471
84,6.880000000000001,53.75,4.2910590146830945,44.0,8.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6663.485232293434
85,7.08,53.75,4.327447476267039,45.0,4.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6644.391651674125
86,7.28,53.75,4.38323574076171,46.0,21.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6625.309315013894
87,7.48,53.75,4.428227804990862,46.0,-0.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6606.238337372208
88,7.680000000000001,53.75,4.466400294577595,46.0,40.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6587.178835018038
89,7.880000000000001,53.75,4.470304348084973,46.0,40.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6568.130925446432
90,8.08,53.75,4.479424723647814,47.0,1.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6549.094727395299
91,8.280000000000001,53.75,4.584186594977384,48.0,3.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6530.070360862445
92,8.48,53.75,4.762153575237214,51.0,0.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6511.057947122833
93,8.68,53.75,5.079659160804971,57.0,24.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6492.057608746055
94,8.88,53.75,5.083997508520126,57.0,24.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6473.06946961407
95,9.08,53.75,5.590722735975581,54.0,810.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6454.093654939143
96,9.280000000000001,53.75,5.860920724637394,55.0,1073.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6435.130291282073
97,9.48,53.75,6.025487289924397,56.0,1144.0,28.0,27.0,49692.73283901701,9,5.0,Ammonia,504446.2455227268,6416.179506570626
98,9.68,53.75,6.010483827589911,55.0,1236.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6397.241430118238
99,9.88,53.75,6.014781962568978,56.0,1191.0,27.0,26.0,47917.99238048069,9,5.0,Ammonia,486430.3081826294,6378.316192642971
100,6.08,53.550000000000004,4.400874828566264,46.0,39.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6728.892940935161
101,6.28,53.550000000000004,4.404202361923445,47.0,3.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6709.740847921206
102,6.48,53.550000000000004,4.442026380650287,46.0,27.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6690.59954475262
103,6.680000000000001,53.550000000000004,4.515106903149286,48.0,26.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6671.469141830832
104,6.880000000000001,53.550000000000004,4.513935142237466,48.0,26.0,25.0,24.0,44368.511463408046,9,5.0,Ammonia,450398.43350243464,6652.349750707073
105,7.08,53.550000000000004,4.6805924820280165,51.0,12.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6633.2414840982065
