,longitude,latitude,Cost_per_kg
0,6.78,54.35,4.639268571916012
1,7.78,54.35,4.668243322182748
2,8.780000000000001,54.35,5.159477586203961
3,9.780000000000001,54.35,5.9515405028086015
4,10.780000000000001,54.35,5.1124078276144695
5,11.780000000000001,54.35,5.080349578621341
6,6.78,53.35,5.414078341921645
7,7.78,53.35,5.954872308329775
8,8.780000000000001,53.35,6.30560476019481
9,9.780000000000001,53.35,6.373658396041298
10,10.780000000000001,53.35,6.470134766395004
11,11.780000000000001,53.35,6.351445754531219
12,6.78,52.35,6.202738366812689
13,7.78,52.35,6.429867066023441
14,8.780000000000001,52.35,6.545101941893631
15,9.780000000000001,52.35,6.642195423799279
16,10.780000000000001,52.35,6.693337704855479
17,11.780000000000001,52.35,6.797061239652455
18,6.78,51.35,6.445300462914162
19,7.78,51.35,6.458622081662272
20,8.780000000000001,51.35,6.659400501664402
21,9.780000000000001,51.35,7.278144742225788
22,10.780000000000001,51.35,7.031078186989729
23,11.780000000000001,51.35,6.957539240000564
24,6.78,50.35,6.537879201758359
25,7.78,50.35,7.281069733824157
26,8.780000000000001,50.35,7.427332643580757
27,9.780000000000001,50.35,7.354501609120372
28,10.780000000000001,50.35,7.6379747286231785
29,11.780000000000001,50.35,7.243976541808503
30,6.78,49.35,6.671883593134733
31,7.78,49.35,6.729368381454221
32,8.780000000000001,49.35,7.426737280205194
33,9.780000000000001,49.35,7.120987729295555
34,10.780000000000001,49.35,7.401943762404208
35,11.780000000000001,49.35,7.532125640265624
