,longitude,latitude,LCOH,Wind turbines,Solar platforms,Electrolyzers,Desalination equipment,Storage volume,Conversion devices,Reconversion devices,Transport medium,FPSO volume,Distance sea
0,6.08,54.550000000000004,3.8438502194723716,43.0,32.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6784.528239512212
1,6.28,54.550000000000004,3.842388984471605,43.0,32.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6765.448882388002
2,6.48,54.550000000000004,3.8437570529441363,43.0,35.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6746.380336823886
3,6.680000000000001,54.550000000000004,3.843958712757635,43.0,36.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6727.322713082764
4,6.880000000000001,54.550000000000004,8.560043750008651,0.0,3531.0,82.0,79.0,145528.71759997838,9,5.0,Ammonia,1477306.8618879856,6708.276122554637
5,7.08,54.550000000000004,3.837703280487746,43.0,28.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6689.240677771988
6,7.28,54.550000000000004,8.549881531674478,0.0,3517.0,82.0,79.0,145528.71759997838,9,5.0,Ammonia,1477306.8618879856,6670.216492425294
7,7.48,54.550000000000004,3.8659590527946075,44.0,21.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6651.203681378791
8,7.680000000000001,54.550000000000004,3.8675752935605985,44.0,21.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6632.202360686423
9,7.880000000000001,54.550000000000004,3.8695504359617208,44.0,21.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6613.212647608014
10,8.08,54.550000000000004,3.882310812306232,44.0,34.0,23.0,23.0,40819.0305463354,9,5.0,Ammonia,414366.55882223987,6594.2346606256315
11,8.280000000000001,54.550000000000004,3.9162077591975226,44.0,4.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6575.2685194602
12,8.48,54.550000000000004,4.029986578951373,47.0,23.0,24.0,24.0,42593.77100487172,9,5.0,Ammonia,432382.49616233725,6556.314345088303
13,8.68,54.550000000000004,4.318220417464075,53.0,2.0,26.0,25.0,46143.251921944364,9,5.0,Ammonia,468414.370842532,6537.372259759216
